content,title
"East side of the sicilian island, in the Catania area there is tje volcano. Her majesty ETNA. Enjoy the today pictures. ",Etna🇮🇹
"August 2008. Arrived at Refugio Sapienza just after 9. Make sure you allow plenty of time to get there - the mountain road can take longer than you think (it took us an hour and twenty from Taormina). The long trek was leaving at 10.30 which we didn't expect but it gave us plenty of time to look around at the gift shops - which were just opening - and the fantastic views (you're about 3,000 feet up at this point already) and have a drink. The Etna guides hut is easy to spot and is on the left near the road as you face the cable car station. The long trek is €60 each and includes the hire of walking boots and a jacket if you don`t have them. You will also need to bring something to tie around your face such as a scarf or t-shirt as the sulphur fumes at the summit can be quite overpowering and acidic. We met up back at the hut at around 10.15 got kitted up and were herded to the cable car station for the first part of the trip. At the top it was over to the big 4x4 jeeps for the next stage. At the end of the jeep journey there is a large high crater to one side which the short trekkers visit, but we headed off towards the summit, first splitting into three groups depending on your language (Italian, French or English). Now here's a warning you should heed: this is not a walk in the park, it's a hard slog. I am not unfit, but I had trouble keeping up with the guide and I wasn't the only one. In fact one of our group dropped out after twenty minutes and went back to the jeep station. There are notices warning asthma sufferers and those with heart conditions not to try it, but that doesn`t really tell you what you`re in for. You also need to be aware that you will be walking up steep slopes and over very loose, uneven ground and you really don't want to fall over onto the sharp volcanic stones. If you're still determined to make the trip then your efforts will be rewarded by the views over Sicily and more importantly the chance to peer into Etna's fume-filled main crater. It's really quite eerie standing at the top and looking down into the swirling sulphur. The crater is very wide and deep making it all the more impressive. You'll also see - and smell - plenty of gas issuing from other points above, below and around you and you'll certainly appreciate that scarf around your face. After about half an hour we headed back roughly the way we came which included an exhilarating run down the side which was a bit like going down a sand dune but one that was made out of volcanic ash. Back at the top jeep station we had our lunch (down at the guide's hut I noticed they were selling packed lunches - €5, I think - but we'd brought our own) It was high summer and not that cold, even high up. With all the walking I ended up carrying my jacket more than wearing it, but by the time we got back for lunch the cloud had rolled in and that made all the difference; it was very chilly then and you needed something warm to wear. About half of our group - even the younger ones - had had enough by now and decided to take the jeep and cable car back down; this cost another €17 each, so be warned. The rest of us set off on a different route which brought us fantastic views of the huge Valle del Bove. It was about here that the day took an odd turn (no pun intended) when the guide veered off down another steep ash slope which a couple of people in our group found a bit daunting and so went down it quite slowly. He (the guide) clearly didn't like this and complained about slow people who shouldn't be on this trek. I ( who wasn't one of the slow ones I should add) told him that he was going too fast and anyway running off the path down a 45 degree slope was not my definition of a `trek` (it was fun though, but I didn't tell him that!). He continued to grumble all the way back to the car park and by then he had no doubts about what I thought of him. The annoying thing was that we were told before we set off that we would be back between 4 and 4.30 - we got back at 4.15, so what was his problem? Judging by the fact that he changed into his motorcycling gear pretty quick when we got back, a prior engagement was possibly the answer. All in all it was a great experience and one I'd recommend. Can't say I liked the guide though; if there really was a problem then I'm sure it can't be the first time and someone needs to make it quite clear to potential trekkers what they can expect to face before taking their money.","A hard climb, but worth it"
"Mount Etna is extraordinary. It is an active volcano and has some of the most beautiful landscape you will ever see. There are many ways to get to your destination. There rail cars to go part of the way as well as buses, off-road buses, and private tours.,I normally do not recommend private tours, as I like do you have to do what I want when I want. Because this area was unfamiliar to me and I had never been I thought it best to take a private tour with the family and it was an excellent, decision.,The area is magnificent and you will never see anything like it. The locals as well as a tourist are ever so friendly and will help guide you. This is not a trip I would take if I was unwell, I suggest it for people who are relatively healthy. There is just so much to do it's so much fun to be had that I cannot recommend it we're highly. Have the most magnificent time.",You must see an active volcano at least once in your life.
How much does the cable car cost from Rifugio Sapienza?  We were just charged 60 Euros each (120 for two).  We did not really look at our receipt until we were back in the car.  Most entries on this blog say the cost is 30 Euros; but a few others say 60 per person also.  Is it possible that we and they are being overcharged?,Cost of cable car to the top???
"It's always a great and sensational emotion to come on Etna Volcano. I like to arrive in the top from Nicolosi, for Expert in Cycling: Alberto Contador Side. Natural relaxing",Wonderful Etna
"This is a today picture of the Etna Volcano. Wonderful to see it with a 'white color', in every season is magic! ",Etna🇮🇹
"We visited Etna with two small children in August, but without using a company - so did no get to see all the sights on the mountain.  However, a great drive up (once you are out of the Catania outskirts + c. 1 hr from just outside the city), through lava fields near the top - and car parking is only €1/day.  Well orgainised at the base level - and cable car gets you quite high up the mountain - and then 4WD buses to near the summit; we did not do the last part (takes an extra 1.5 hrs round trip), but you can walk up the road and across lava/pyroclasts and then get panninis etc + hot drinks (needed) at the cable car station.  Key point, even if it's 40 degrees at sea level it is cold and windy even at the first level - so take sweaters and long trousers at the v. least (and they do have coats available as well at the upper cable car stop).  Great experience and worth doing.","Well orgainised, easy access"
We were able to experience Mt Etna without spending money on a tour. IF you do your research before going you can save yourselves plenty of euros. We left Catania and returned for a total of €6.60. It was a great experience making our way to the top via the cable car and jeep. Worth the expense if you want to get to the top! ,Cheap and easy way to do Mt Etna
We would like to visit Etna. We have a 3 year old and 9 month old. Does anyone know if you can take children that young on the cable car? And a buggy? Thank you!,Question about Etna Cable Cars and children
"Mount Etna is a stunning day out from Catania. We took the AST bus from Catania to about 1900m followed by a cable car to 2500m and a trek to 2950m. Etna itself is 6 stars out of 5 and that's unheard of. The deductions are for the bus trip and the price of the cable car.,The AST bus is very convenient if you get it at 8.15. Arrive early to get a ticket and get on the bus as soon as you buy your ticket. They seem to continue selling tickets at the ticket office after the first bus is sold out. If there's no space on the first bus you then have to wait til the next bus at 11. This will not give you enough time at Etna. Our bus was oversold and there was a standoff between the disgruntled customers and the bus driver before we could leave Catania.,The bus trip was a bit of a pain. The guide spent the trip trying to sell the guided tour from the top. He was very repetitive and loud so it was difficult to enjoy the bus ride. It may have been a cultural thing but I found his behavior towards some girls on the bus to be over familiar. The bus stop at the halfway mark is very useful for picking up food and water. It's a lot cheaper filling up here rather than at Etna. There are other choices other than the bar the guide directs you to.,When we finally got off the bus it was a relief to be away from the guide. Around the Refugio is very chaotic. The cable car trip was very expensive but we passed above others who chose to walk and we were definitely relieved not to have to hike below the cable car in the heat. The hike from 1900 to 2500m looks like a real struggle.,The cable car dropped us off at 2500m and we walked to the two craters at 2950m. This was a tough steep hike but the air is cool and the views are other worldly. The craters were stunning and it's quite easy to walk all the way around them once you reach them. We've never seen anything like the views before. This, and the views of smoke billowing from the highest crater, made the painful bus trip, ripoff cable car and difficult hike worthwhile.,I think this option works out as the best way to experience Etna if you're on a budget. I would skip paying the large extra fee for a 4WD or the trip to the summit with a guide unless you're really into volcanoes and eruptions. If you don't take the cable car brace yourself for an endurance test and a likely frustrated argument half way up.,In summary,if you visit Sicily definitely go to Etna. If you're lucky enough to have your own transport count your blessings that you'll avoid the guide on the AST bus. Otherwise ASTs service is convenient and worth enduring to see the splendour of Etna. Just bring good earplugs. And avoid eye contact with the guide.","Mount Etna - AST bus from Catania, cable car and trek to 2900m"
